id,amount,settlement_date
T0001,323.32,2026-03-02
T0003,119.37,2026-03-25
T0004,60.22,2026-03-26
T0005,447.17,2026-03-05
T0006,299.34,2026-03-04
T0007,24.6,2026-03-08
T0009,23.0,2026-03-08
T0010,360.85,2026-03-24
T0011,277.02,2026-03-10
T0012,230.11,2026-03-10
T0013,406.62,2026-03-03
T0014,381.82,2026-03-08
T0015,352.09,2026-03-12
T0016,146.16,2026-03-09
T0018,60.08,2026-03-14
T0020,178.54,2026-03-10
T0021,405.49,2026-03-25
T0022,235.12,2026-03-05
T0023,486.83,2026-03-15
T0024,48.61,2026-03-12
T0025,416.41,2026-03-22
T0026,443.87,2026-03-14
T0027,292.9,2026-03-24
T0029,121.67,2026-03-11
T0031,124.07,2026-03-06
T0032,196.26,2026-03-17
T0033,321.49,2026-03-14
T0034,89.7,2026-03-13
T0035,112.66,2026-03-10
T0036,353.89,2026-03-23
T0037,327.54,2026-03-21
T0038,321.14,2026-03-20
T0039,367.27,2026-03-08
T0040,236.51,2026-03-10
T0042,347.2,2026-03-09
T0043,345.46,2026-03-29
T0044,386.47,2026-03-04
T0045,122.23,2026-03-03
T0046,404.47,2026-03-14
T0047,141.19,2026-03-11
T0048,457.44,2026-03-20
T0049,439.42,2026-03-12
T0050,114.19,2026-03-18
T0051,203.86,2026-03-31
T0052,325.0,2026-03-06
T0053,139.79,2026-03-12
T0054,375.04,2026-03-19
T0055,138.74,2026-03-20
T0056,219.93,2026-03-24
T0057,205.71,2026-03-10
T0058,498.69,2026-03-06
T0059,259.67,2026-03-05
T0060,380.33,2026-03-30
T0061,63.73,2026-03-23
T0062,88.39,2026-03-24
T0063,216.86,2026-03-05
T0065,498.1,2026-03-19
T0066,133.19,2026-03-19
T0067,431.78,2026-03-03
T0069,344.04,2026-03-19
T0070,377.93,2026-03-29
T0071,324.07,2026-03-05
T0072,153.82,2026-03-08
T0073,232.32,2026-04-02
T0074,363.83,2026-03-26
T0075,139.06,2026-03-19
T0076,383.36,2026-03-19
T0077,457.19,2026-03-30
T0078,316.4,2026-03-28
T0079,323.09,2026-03-21
T0080,107.47,2026-03-14
T0082,477.21,2026-04-01
T0083,269.87,2026-03-02
T0085,19.54,2026-03-31
T0086,187.86,2026-03-28
T0087,405.32,2026-03-10
T0088,38.38,2026-03-30
T0089,288.0,2026-03-04
T0090,51.97,2026-03-18
T0092,271.03,2026-03-07
T0093,72.91,2026-03-18
T0094,473.96,2026-03-08
T0095,139.88,2026-03-29
T0096,307.23,2026-04-02
T0097,113.78,2026-03-20
T0098,380.08,2026-03-24
T0099,108.56,2026-03-14
T0100,205.51,2026-03-23
T0101,328.44,2026-03-16
T0102,450.81,2026-03-20
T0103,69.29,2026-03-09
T0104,41.37,2026-03-02
T0105,298.27,2026-03-10
T0106,298.34,2026-03-03
T0107,44.79,2026-03-23
T0108,38.85,2026-03-04
T0109,453.66,2026-03-30
T0111,126.62,2026-03-24
T0112,247.85,2026-03-19
T0113,74.83,2026-04-01
T0114,442.37,2026-03-20
T0115,241.61,2026-03-28
T0116,241.76,2026-03-16
T0117,103.3,2026-03-06
T0118,332.9,2026-03-14
T0119,217.55,2026-03-17
T0120,433.28,2026-03-06
T0001,323.32,2026-03-03
T0002,373.36,2026-03-09
T0003,119.37,2026-03-25
T0004,60.22,2026-03-25
T0005,447.17,2026-03-05
T2001,33.33,2026-04-01
T2002,33.33,2026-04-02
T2003,33.33,2026-04-04
T9999,-120.0,2026-03-31
